REFCODE,W sigma,W sigma_11,W sigma_22,W sigma_33,P sigma,P sigma_11,P sigma_22,P sigma_33,W Distortion zeta,W Distortion delta,W Distortion sigma,W Distortion theta,C1-W-C2 angle,C1-W dist,C1-O dist,W-C1-O angle,C1 sigma,C1 sigma_11,C1 sigma_22,C1 sigma_33,C2-W dist,C2-O dist,W-C2-O angle,C2 sigma,C2 sigma_11,C2 sigma_22,C2 sigma_33,C3-W-C4 angle,C3-W dist,C3-O dist,W-C3-O angle,C3 sigma,C3 sigma_11,C3 sigma_22,C3 sigma_33,C4-W dist,C4-O dist,W-C4-O angle,C4 sigma,C4 sigma_11,C4 sigma_22,C4 sigma_33,C5-W-P angle,C5-W dist,C5-O dist,W-C5-O angle,C5 sigma,C5 sigma_11,C5 sigma_22,C5 sigma_33,P Distortion zeta,P Distortion delta,P Distortion sigma,P bonds,P-W dist,?1 atomic number,?1 bonds,W-P-?1 angle,P-?1 dist,?2 atomic number,?2 bonds,W-P-?2 angle,P-?2 dist,?3 atomic number,?3 bonds,W-P-?3 angle,P-?3 dist
ABAHOE_#[2],2864.74,2251.37,3035.23,3307.63,-549.73,-1543.48,-216.25,110.55,0.5915118975071807,0.0039479600222733,31.57684194056229,116.50049387942178,173.84623589317653,2.0612326627530417,1.1362301043362653,172.443118121306,-30.72,-165.51,-172.31,245.67,2.044566332990936,1.1395980738839464,177.5902112762505,-28.91,-165.47,-175.46,254.19,177.52932936670328,2.048662737006753,1.1352887253910349,178.59506275103513,-32.57,-168.89,-174.03,245.21,2.0665719730994128,1.1282190212897494,178.34149097688953,-27.11,-162.49,-172.89,254.04,170.94119713166364,2.037368989653077,1.1396007239379935,178.43453577379864,-51.56,-174.86,-185.94,206.12,0.4599818380473359,0.0050079951933557,41.105743398543765,3,2.4065876776049526,74,6,132.12113694341005,2.4238734806090863,16,2,123.16879492618584,2.0702442005715174,0,0,0.0,0.0
ABAHOE_#[4],2904.77,2432.16,3094.52,3187.62,-549.73,-1543.48,-216.25,110.55,0.6286689537727446,0.0044489126691295,25.94439470428317,105.09707970303968,175.85955350807407,2.0550868667771685,1.1372447186072137,178.4060864294015,-32.41,-169.54,-175.55,247.86,2.050625109570249,1.1403291586204394,177.34206228837084,-32.58,-168.45,-177.33,248.05,175.17740942103666,2.0483527869973965,1.1410636090946027,176.6540843317738,-32.12,-167.79,-177.33,248.77,2.0354785825451467,1.143429009602258,177.06355539567585,-35.19,-171.65,-180.63,246.71,173.94338405634525,2.0438171958372395,1.137325542665776,178.69175768274317,-51.12,-173.9,-185.75,206.28,0.4599818380473359,0.0050079951933557,41.105743398543765,3,2.4238734806090863,74,6,132.12113694341005,2.4065876776049526,16,2,104.68418847105212,2.0702442005715174,0,0,0.0,0.0
ABAHOE_#[6],2874.25,2284.59,3059.52,3278.63,-529.27,-1521.62,-189.17,122.97,0.5915618662599185,0.0039455239813815,39.01864094789228,136.33069976309153,174.9517912629079,2.0617724268211566,1.131310960788411,178.3993172789984,-28.76,-163.15,-174.77,251.63,2.0555560537236635,1.1295264405935783,178.55436275050567,-33.08,-170.02,-171.91,242.68,175.713732346895,2.060739182914713,1.137371583960141,173.86546341382055,-31.41,-167.68,-174.29,247.76,2.0416344138949065,1.138308279860952,178.41825658974287,-28.87,-165.42,-175.44,254.25,168.50178914722926,2.0381220890810257,1.140962830244702,176.43634311810328,-51.28,-174.42,-185.27,205.85,0.4684376605859843,0.0052044886099088,42.77687802620609,3,2.406501953043045,74,6,133.10682111992563,2.4228893536437046,16,2,122.98784026838788,2.0633674079038866,0,0,0.0,0.0
ABAHOE_#[8],2897.02,2412.62,3097.06,3181.38,-529.27,-1521.62,-189.17,122.97,0.6173225653280552,0.004268563353321,18.46337055518813,77.02111686752535,177.0483646406496,2.0488946141761417,1.141081193430161,177.47477930700651,-31.92,-169.48,-177.18,250.91,2.051083074865569,1.1379913663995855,177.99243814239622,-33.26,-170.88,-178.63,249.74,178.77201222358187,2.06344494716966,1.134138025109819,179.3852624117613,-31.75,-168.76,-175.22,248.73,2.0482540223321912,1.1350402856286643,178.9472577256343,-31.28,-167.35,-174.97,248.49,176.2365230024403,2.050802413690797,1.11963399823335,178.25453955315243,-43.67,-167.96,-176.97,213.93,0.4684376605859843,0.0052044886099088,42.77687802620609,3,2.4228893536437046,74,6,133.10682111992563,2.406501953043045,16,2,103.8177833621074,2.0633674079038866,0,0,0.0,0.0
ABAJAS_#[4],2743.01,2392.75,2818.05,3018.21,-608.9,-1559.16,-395.3,127.75,0.6061583511080864,0.0040967988915932,23.34900075495161,99.00136487393604,172.68288604629694,2.048370952732928,1.1322816875671873,177.08588293691892,-29.37,-166.75,-172.62,251.27,2.061407853870747,1.1304266274287769,174.22236492069936,-29.99,-164.69,-172.59,247.31,177.84283273966997,2.058182773710829,1.1288781067945286,177.88993103068947,-30.25,-163.1,-171.56,243.9,2.070867808432011,1.124616250104897,176.9853462515886,-28.59,-160.52,-170.84,245.59,176.89825182154794,2.058650142690594,1.1279501983687046,179.0555858105807,-48.64,-168.39,-180.57,203.05,0.2833242888268845,0.0018228162631383,42.110646268915104,3,2.4231909169522736,74,6,132.95566653810516,2.41410942171228,34,2,104.18659999795943,2.2061569527121137,0,0,0.0,0.0
ABAJAS_#[8],2886.36,2287.89,3085.3,3285.9,-608.9,-1559.16,-395.3,127.75,0.6066560788783009,0.0041525780040574,24.351466069949566,94.8052860230492,178.52595466968577,2.0570308723983697,1.1337747483517184,178.70216678412183,-31.1,-168.71,-173.89,249.31,2.056236020013268,1.1368638396923345,178.72074032490164,-29.14,-164.16,-177.53,254.28,177.40565427432162,2.0630898332355763,1.1438361202549954,175.0143729853145,-33.12,-168.61,-178.0,247.24,2.038982086728572,1.1454018421497325,179.8121043483521,-32.15,-168.93,-179.37,251.86,174.30410461228624,2.0352400595507154,1.146513576020799,177.53445158796467,-56.92,-178.01,-189.82,197.07,0.2833242888268845,0.0018228162631383,42.110646268915104,3,2.41410942171228,74,6,132.95566653810516,2.4231909169522736,34,2,122.84157972876936,2.2061569527121137,0,0,0.0,0.0
ABAJEW_#[2],2840.96,2366.49,3050.56,3105.82,-606.47,-1566.19,-402.4,149.19,0.6444334323547793,0.0046434452420941,16.42772412437877,72.88142695916042,177.84598851290718,2.048936243517597,1.1366762995681745,178.86072502063757,-33.82,-167.63,-178.7,244.88,2.058082335573579,1.1403076295456414,178.39343890931474,-34.52,-173.06,-177.7,247.2,176.46497777235996,2.0552527095226027,1.1330047705106985,176.87911870425862,-29.38,-165.33,-173.23,250.41,2.0485699548709584,1.1375053318556358,177.68113458869578,-32.16,-167.84,-178.43,249.79,177.79580397810383,2.045096643193176,1.1363179880649616,178.840891908984,-53.6,-173.33,-186.15,198.68,0.2903902654217951,0.001926314016942,46.04100490958861,3,2.4378476367484505,74,6,134.9078991664907,2.4114728010077147,34,2,102.2151041775404,2.206867519811736,0,0,0.0,0.0
ABAJEW_#[4],2795.11,2189.59,3038.82,3156.93,-606.47,-1566.19,-402.4,149.19,0.5945836076733713,0.0039809630502714,35.06149789207208,123.52672400341116,171.918795062066,2.039452813869445,1.133062774077412,176.9078272701554,-28.52,-163.76,-172.66,250.87,2.057138920928774,1.1356361168966052,170.93861635064718,-30.87,-164.53,-171.64,243.57,176.96202852928727,2.0740371790303094,1.1237433069878544,177.7326814425035,-28.16,-162.35,-170.94,248.82,2.0574878614465746,1.1435320765068195,177.8154671381472,-32.17,-167.26,-178.79,249.55,172.67958718161532,2.04549640674336,1.1353176251604675,178.92943463724887,-52.57,-172.49,-185.9,200.69,0.2903902654217951,0.001926314016942,46.04100490958861,3,2.4114728010077147,74,6,134.9078991664907,2.4378476367484505,34,2,122.84820992063835,2.206867519811736,0,0,0.0,0.0
ABAJEW_#[6],2841.38,2347.0,3024.88,3152.27,-600.45,-1534.28,-418.6,151.52,0.6423567453444528,0.0046392377326069,22.655021119562804,90.06969315091845,177.30400463391564,2.072697387463978,1.1253676554797547,177.32459866559847,-29.32,-163.13,-172.2,247.37,2.0484400625842096,1.1334623946121891,178.16077244818712,-32.31,-170.32,-175.49,248.88,179.26155636279535,2.049859443961951,1.1425896113653409,179.04566557282124,-32.53,-169.88,-178.38,250.67,2.043188637889317,1.1464560785307034,179.41039849574696,-35.52,-171.97,-181.82,247.24,174.10129772033986,2.0383765746299183,1.1395989952610528,177.7174279524609,-55.48,-176.51,-185.95,196.0,0.3030163300104109,0.0020953460997739,43.50674523850861,3,2.4359264685125464,74,6,133.23457755593213,2.4134907851491785,34,2,103.49426733455908,2.197446379323054,0,0,0.0,0.0
ABAJEW_#[8],2852.69,2385.76,3011.05,3161.26,-600.45,-1534.28,-418.6,151.52,0.5988432564930912,0.004038624246979,40.189682171977935,145.49996804582574,173.8629916866579,2.052122951969497,1.1310792766203437,177.92970893410543,-28.64,-166.86,-172.32,253.24,2.063692033710456,1.1438718503398897,172.0041525193833,-33.03,-170.71,-175.05,246.68,174.4503553298085,2.056577362999018,1.1290121168526046,177.25956772030264,-29.96,-164.78,-170.32,245.22,2.066087483626964,1.136167263214357,179.0877662216842,-31.21,-165.16,-175.04,246.58,169.31151011706564,2.032444323960682,1.1448412160644823,177.01567690884156,-56.98,-176.45,-189.1,194.61,0.3030163300104109,0.0020953460997739,43.50674523850861,3,2.4134907851491785,74,6,133.23457755593213,2.4359264685125464,34,2,123.26643501713556,2.197446379323054,0,0,0.0,0.0
