Symbol,Number,ARENeg,Metal,RCov,RBO,RVdW,MaxBnd,Mass,ElNeg,Ionization,ElAffinity,Name
*,0,0,FALSE,0,0,0,0,0,0,0,0,Dummy
H,1,2.2,FALSE,0.31,0.31,1.1,1,1.00794,2.2,13.5984,0.75420375,Hydrogen
He,2,0,FALSE,0.28,0.28,1.4,0,4.002602,0,24.5874,0,Helium
Li,3,0.97,TRUE,1.28,1.28,1.81,1,6.941,0.98,5.3917,0.618049,Lithium
Be,4,1.47,TRUE,0.96,0.96,1.53,2,9.012182,1.57,9.3227,0,Beryllium
B,5,2.01,FALSE,0.84,0.84,1.92,4,10.811,2.04,8.298,0.279723,Boron
C,6,2.5,FALSE,0.76,0.76,1.7,4,12.0107,2.55,11.2603,1.262118,Carbon
N,7,3.07,FALSE,0.71,0.71,1.55,4,14.0067,3.04,14.5341,-0.07,Nitrogen
O,8,3.5,FALSE,0.66,0.66,1.52,2,15.9994,3.44,13.6181,1.461112,Oxygen
F,9,4.1,FALSE,0.57,0.57,1.47,1,18.9984032,3.98,17.4228,3.4011887,Fluorine
Ne,10,0,FALSE,0.58,0.58,1.54,0,20.1797,0,21.5645,0,Neon
Na,11,1.01,TRUE,1.66,1.66,2.27,1,22.98977,0.93,5.1391,0.547926,Sodium
Mg,12,1.23,TRUE,1.41,1.41,1.73,2,24.305,1.31,7.6462,0,Magnesium
Al,13,1.47,FALSE,1.21,1.21,1.84,6,26.981538,1.61,5.9858,0.43283,Aluminium
Si,14,1.74,FALSE,1.11,1.11,2.1,6,28.0855,1.9,8.1517,1.389521,Silicon
P,15,2.06,FALSE,1.07,1.07,1.8,6,30.973761,2.19,10.4867,0.7465,Phosphorus
S,16,2.44,FALSE,1.05,1.05,1.8,6,32.065,2.58,10.36,2.0771029,Sulfur
Cl,17,2.83,FALSE,1.02,1.02,1.75,1,35.453,3.16,12.9676,3.612724,Chlorine
Ar,18,0,FALSE,1.06,1.06,1.88,0,39.948,0,15.7596,0,Argon
K,19,0.91,TRUE,2.03,2.03,2.75,1,39.0983,0.82,4.3407,0.501459,Potassium
Ca,20,1.04,TRUE,1.76,1.76,2.31,2,40.078,1,6.1132,0.02455,Calcium
Sc,21,1.2,TRUE,1.7,1.7,2.3,6,44.95591,1.36,6.5615,0.188,Scandium
Ti,22,1.32,TRUE,1.6,1.6,2.15,6,47.867,1.54,6.8281,0.084,Titanium
V,23,1.45,TRUE,1.53,1.53,2.05,6,50.9415,1.63,6.7462,0.525,Vanadium
Cr,24,1.56,TRUE,1.39,1.39,2.05,6,51.9961,1.66,6.7665,0.67584,Chromium
Mn,25,1.6,TRUE,1.39,1.39,2.05,8,54.938049,1.55,7.434,0,Manganese
Fe,26,1.64,TRUE,1.32,1.32,2.05,6,55.845,1.83,7.9024,0.151,Iron
Co,27,1.7,TRUE,1.26,1.26,2,6,58.9332,1.88,7.881,0.6633,Cobalt
Ni,28,1.75,TRUE,1.24,1.24,2,6,58.6934,1.91,7.6398,1.15716,Nickel
Cu,29,1.75,TRUE,1.32,1.32,2,6,63.546,1.9,7.7264,1.23578,Copper
Zn,30,1.66,TRUE,1.22,1.22,2.1,6,65.38,1.65,9.3942,0,Zinc
Ga,31,1.82,FALSE,1.22,1.22,1.87,3,69.723,1.81,5.9993,0.41,Gallium
Ge,32,2.02,FALSE,1.2,1.2,2.11,4,72.64,2.01,7.8994,1.232712,Germanium
As,33,2.2,FALSE,1.19,1.19,1.85,3,74.9216,2.18,9.7886,0.814,Arsenic
Se,34,2.48,FALSE,1.2,1.2,1.9,2,78.96,2.55,9.7524,2.02067,Selenium
Br,35,2.74,FALSE,1.2,1.2,1.83,1,79.904,2.96,11.8138,3.363588,Bromine
Kr,36,0,FALSE,1.16,1.16,2.02,0,83.798,3,13.9996,0,Krypton
Rb,37,0.89,FALSE,2.2,2.2,3.03,1,85.4678,0.82,4.1771,0.485916,Rubidium
Sr,38,0.99,FALSE,1.95,1.95,2.49,2,87.62,0.95,5.6949,0.05206,Strontium
Y,39,1.11,TRUE,1.9,1.9,2.4,6,88.90585,1.22,6.2173,0.307,Yttrium
Zr,40,1.22,TRUE,1.75,1.75,2.3,6,91.224,1.33,6.6339,0.426,Zirconium
